split,image_path,class_name,class_id
train,cv\datasets\train\Cafe_benh_dom_rong\04a1e10e-3da4-408c-9a89-6af99ed4db4f.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\0899a5fe-8cbf-46ab-8f3f-6e1f922174e9.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\0f872582-7747-4ffb-9ac3-e69df36f1431.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\11486462-f324-4bf3-989d-cddb3dfade90.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\149b2fd2-a80e-46bf-9d76-f5f9dd5c84c3.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\16205f43-4e13-4244-b3dd-f410f5d45ac2.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\23d01977-aa0a-4cb6-a136-557cee7b2789.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\26fb21b8-76e6-4aef-8261-db57976339b7.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\2791594c-16fc-47c6-9499-3597050270c6.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\4e85a08c-556d-4406-a495-fdf4c76380db.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\561461db-4696-4175-a392-c2da343db0bb.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\5a82e004-3b20-4b9c-8ece-f87b90045dea.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\5db84166-7fec-43b8-a7da-393429d122ff.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\6455ace3-97de-4895-af17-3de3df2da4f2.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\67542744-decf-42ed-bf1a-ecdada25f834.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\699499ea-374d-4550-9646-f32189286ccc.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\6eca5c2a-ad14-4a00-9949-7c22399dd063.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\72d5d0de-6cf3-43e3-a268-40fc57e39194.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\76852829-d6d7-4ced-b0e1-b0db8b717711.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\79c69854-84a0-4d58-a630-bec42d5b2634.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\a668baa8-3b5c-41c1-8782-04a030c992a3.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\bd15d11d-194b-4ef2-9eb2-6d39ba4353b9.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\c70370a1-bbec-4b93-8771-c5a07b84b892.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\ca23841c-0276-48c0-82fd-cec0e3737696.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\ca9f8d52-8137-4ed4-a244-7211b8da49b1.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\cb781207-8937-42de-b9cc-11476e84a397.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\dc30be8e-2a0d-4c29-a959-1afa8b62b82e.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\dda2b6a7-c7b0-423c-aebe-3cf866319275.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\f3127bc9-9683-4720-8008-80a7847732ce.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\f7a39ca4-787e-48b6-83be-dcfc95cb0017.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\IMG_2266_2_JPG.rf.80d5f3ed25d28246a8ca2e100fcd64e1.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\IMG_2266_JPG.rf.fd5383036fe419e72dc6bb393fe5492b.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\IMG_2267_JPG.rf.4564a1d38e863fa2c451958285cb57f4.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\IMG_2268_1_JPG.rf.8b3fddffde6d57a9527e8cd68aa34fb8.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\IMG_2271_1_JPG.rf.8d3925b88b38d59256f3d8401ded49ab.jpg,Cafe_benh_dom_rong,0
train,cv\datasets\train\Cafe_benh_dom_rong\IMG_2271_2_JPG.rf.b181bd7c53fa84a1686cd97009db91de.jpg,Cafe_benh_dom_rong,0
